Date,Open,High,Low,Close,Volume,Capital Gains
2017-06-28 00:00:00-04:00,210.76,211.82,210.53,211.62,70042600,0.0
2017-06-29 00:00:00-04:00,211.77,211.82,208.56,209.76,106949700,0.0
2017-06-30 00:00:00-04:00,210.57,210.95,209.96,210.15,86820700,0.0
2017-07-03 00:00:00-04:00,211.09,211.53,210.51,210.51,39153800,0.0
2017-07-05 00:00:00-04:00,210.88,211.21,210.07,211.0,54427600,0.0
2017-07-06 00:00:00-04:00,210.23,210.35,208.89,209.07,65400800,0.0
2017-07-07 00:00:00-04:00,209.64,210.57,209.08,210.42,57972300,0.0
2017-07-10 00:00:00-04:00,210.42,211.02,210.12,210.65,36663300,0.0
2017-07-11 00:00:00-04:00,210.65,210.81,209.33,210.49,50354600,0.0
2017-07-12 00:00:00-04:00,211.46,212.24,211.46,212.08,59610400,0.0
2017-07-13 00:00:00-04:00,212.08,212.54,211.86,212.43,39471600,0.0
2017-07-14 00:00:00-04:00,212.43,213.78,212.34,213.42,60262700,0.0
2017-07-17 00:00:00-04:00,213.34,213.73,213.22,213.4,33531900,0.0
2017-07-18 00:00:00-04:00,212.99,213.56,212.65,213.51,42742500,0.0
2017-07-19 00:00:00-04:00,213.82,214.67,213.81,214.67,51034300,0.0
2017-07-20 00:00:00-04:00,214.92,215.04,214.21,214.76,47135200,0.0
2017-07-21 00:00:00-04:00,214.19,214.6,213.96,214.57,82340800,0.0
2017-07-24 00:00:00-04:00,214.49,214.66,214.05,214.52,46622300,0.0
2017-07-25 00:00:00-04:00,215.27,215.37,214.81,215.04,54915600,0.0
2017-07-26 00:00:00-04:00,215.33,215.36,214.79,215.05,47575400,0.0
2017-07-27 00:00:00-04:00,215.51,215.54,213.53,214.85,70766600,0.0
2017-07-28 00:00:00-04:00,214.37,214.73,213.92,214.6,50088400,0.0
2017-07-31 00:00:00-04:00,215.0,215.09,214.27,214.47,65838700,0.0
2017-08-01 00:00:00-04:00,215.07,215.11,214.43,214.95,55050400,0.0
2017-08-02 00:00:00-04:00,215.08,215.2,214.13,215.06,47211200,0.0
2017-08-03 00:00:00-04:00,214.94,214.97,214.36,214.64,40856000,0.0
2017-08-04 00:00:00-04:00,215.13,215.36,214.65,215.03,60191800,0.0
2017-08-07 00:00:00-04:00,215.1,215.43,215.0,215.43,31995000,0.0
2017-08-08 00:00:00-04:00,215.12,216.33,214.53,214.9,61719400,0.0
2017-08-09 00:00:00-04:00,214.21,214.94,213.86,214.89,62632600,0.0
2017-08-10 00:00:00-04:00,214.06,214.19,211.81,211.86,120479500,0.0
2017-08-11 00:00:00-04:00,212.08,212.76,211.85,212.17,74869900,0.0
2017-08-14 00:00:00-04:00,213.45,214.49,213.41,214.27,73291900,0.0
2017-08-15 00:00:00-04:00,214.66,214.67,213.94,214.25,55242700,0.0
2017-08-16 00:00:00-04:00,214.77,215.17,214.2,214.62,56715500,0.0
2017-08-17 00:00:00-04:00,214.01,214.33,211.28,211.28,128490400,0.0
2017-08-18 00:00:00-04:00,211.11,212.23,210.5,210.95,136748000,0.0
2017-08-21 00:00:00-04:00,210.88,211.37,210.18,211.11,65469700,0.0
2017-08-22 00:00:00-04:00,211.69,213.47,211.68,213.32,63140100,0.0
2017-08-23 00:00:00-04:00,212.35,212.98,212.21,212.55,50203800,0.0
2017-08-24 00:00:00-04:00,212.94,213.09,211.85,212.06,50741700,0.0
2017-08-25 00:00:00-04:00,212.85,213.47,212.41,212.55,64445900,0.0
2017-08-28 00:00:00-04:00,213.08,213.11,212.15,212.56,40565600,0.0
2017-08-29 00:00:00-04:00,211.25,213.07,211.14,212.81,51135700,0.0
2017-08-30 00:00:00-04:00,212.79,214.08,212.61,213.81,62030800,0.0
2017-08-31 00:00:00-04:00,214.43,215.34,213.85,215.1,103803900,0.0
2017-09-01 00:00:00-04:00,215.47,215.83,215.26,215.4,62007000,0.0
2017-09-05 00:00:00-04:00,214.9,215.13,212.89,213.86,91398800,0.0
2017-09-06 00:00:00-04:00,214.54,214.92,214.0,214.59,57916900,0.0
2017-09-07 00:00:00-04:00,214.89,214.91,214.15,214.56,58034700,0.0
2017-09-08 00:00:00-04:00,214.27,214.77,214.07,214.31,63832800,0.0
2017-09-11 00:00:00-04:00,215.58,216.67,215.56,216.6,71364800,0.0
2017-09-12 00:00:00-04:00,216.96,217.36,216.78,217.33,56896000,0.0
2017-09-13 00:00:00-04:00,217.04,217.46,216.93,217.43,59228000,0.0
2017-09-14 00:00:00-04:00,217.11,217.56,216.93,217.36,95446300,0.0
2017-09-15 00:00:00-04:00,217.22,217.74,217.11,217.65,95432400,0.0
2017-09-18 00:00:00-04:00,218.02,218.46,217.73,218.12,46235200,0.0
2017-09-19 00:00:00-04:00,218.36,218.42,218.01,218.33,47108100,0.0
2017-09-20 00:00:00-04:00,218.42,218.53,217.42,218.41,59574100,0.0
2017-09-21 00:00:00-04:00,218.26,218.34,217.65,217.83,48211400,0.0
2017-09-22 00:00:00-04:00,217.53,218.04,217.5,217.87,51214000,0.0
2017-09-25 00:00:00-04:00,217.62,217.97,216.68,217.43,57064400,0.0
2017-09-26 00:00:00-04:00,217.85,218.1,217.32,217.56,54082000,0.0
2017-09-27 00:00:00-04:00,218.26,218.79,217.37,218.4,81001400,0.0
2017-09-28 00:00:00-04:00,218.12,218.74,218.04,218.67,44778800,0.0
2017-09-29 00:00:00-04:00,218.66,219.51,218.47,219.43,85578000,0.0
2017-10-02 00:00:00-04:00,219.66,220.39,219.49,220.39,59023000,0.0
2017-10-03 00:00:00-04:00,220.39,220.88,220.31,220.86,66810200,0.0
2017-10-04 00:00:00-04:00,220.71,221.36,220.6,221.12,55953600,0.0
2017-10-05 00:00:00-04:00,221.45,222.45,221.15,222.43,63522800,0.0
2017-10-06 00:00:00-04:00,221.98,222.47,221.72,222.18,80646000,0.0
2017-10-09 00:00:00-04:00,222.4,222.47,221.55,221.81,35803100,0.0
2017-10-10 00:00:00-04:00,222.38,222.77,221.84,222.4,43057400,0.0
2017-10-11 00:00:00-04:00,222.3,222.74,222.13,222.74,47674300,0.0
2017-10-12 00:00:00-04:00,222.43,222.78,222.18,222.41,47065100,0.0
2017-10-13 00:00:00-04:00,222.85,222.96,222.41,222.68,54800400,0.0
2017-10-16 00:00:00-04:00,222.91,223.17,222.57,222.98,38221700,0.0
2017-10-17 00:00:00-04:00,222.93,223.18,222.71,223.14,31561000,0.0
2017-10-18 00:00:00-04:00,223.51,223.56,223.16,223.36,40888300,0.0
2017-10-19 00:00:00-04:00,222.58,223.45,222.16,223.42,61903800,0.0
2017-10-20 00:00:00-04:00,224.21,224.6,223.4,224.57,89176400,0.0
2017-10-23 00:00:00-04:00,224.89,224.92,223.62,223.7,63915300,0.0
2017-10-24 00:00:00-04:00,224.12,224.33,223.73,224.09,66935900,0.0
2017-10-25 00:00:00-04:00,223.76,223.87,221.85,222.98,103715300,0.0
2017-10-26 00:00:00-04:00,223.59,223.86,223.15,223.27,69798000,0.0
2017-10-27 00:00:00-04:00,224.01,225.25,223.28,225.09,85562500,0.0
2017-10-30 00:00:00-04:00,224.01,225.0,223.96,224.26,54285700,0.0
2017-10-31 00:00:00-04:00,224.63,224.86,224.31,224.6,60304800,0.0
2017-11-01 00:00:00-04:00,225.38,225.72,224.54,224.9,54202700,0.0
2017-11-02 00:00:00-04:00,224.83,225.13,223.77,224.99,56449500,0.0
2017-11-03 00:00:00-04:00,225.15,225.78,224.74,225.74,59589700,0.0
2017-11-06 00:00:00-05:00,225.61,226.22,225.54,226.09,49652600,0.0
2017-11-07 00:00:00-05:00,226.19,226.53,225.43,225.93,57502200,0.0
2017-11-08 00:00:00-05:00,225.76,226.41,225.48,226.32,50469600,0.0
2017-11-09 00:00:00-05:00,225.11,225.69,223.91,225.5,95085500,0.0
2017-11-10 00:00:00-05:00,225.11,225.6,224.8,225.43,59984700,0.0
2017-11-13 00:00:00-05:00,224.74,225.86,224.71,225.64,50228600,0.0
2017-11-14 00:00:00-05:00,224.83,225.22,224.05,225.11,61315200,0.0
2017-11-15 00:00:00-05:00,224.14,224.67,223.28,223.98,80811500,0.0
2017-11-16 00:00:00-05:00,224.93,226.26,224.88,225.89,67777000,0.0
2017-11-17 00:00:00-05:00,225.54,225.86,225.15,225.23,75756800,0.0
2017-11-20 00:00:00-05:00,225.47,225.8,225.23,225.61,48075500,0.0
2017-11-21 00:00:00-05:00,226.38,227.27,225.57,227.09,69176800,0.0
2017-11-22 00:00:00-05:00,227.09,227.23,226.72,226.88,45033400,0.0
2017-11-24 00:00:00-05:00,227.37,227.51,227.23,227.41,27856500,0.0
2017-11-27 00:00:00-05:00,227.45,227.75,227.09,227.3,52274900,0.0
2017-11-28 00:00:00-05:00,227.76,229.63,227.66,229.6,98971700,0.0
2017-11-29 00:00:00-05:00,229.73,230.26,229.02,229.46,77512100,0.0
2017-11-30 00:00:00-05:00,230.38,232.38,230.3,231.47,127894400,0.0
2017-12-01 00:00:00-05:00,231.25,231.73,227.76,230.99,164390900,0.0
2017-12-04 00:00:00-05:00,232.61,233.03,230.66,230.71,94040600,0.0
2017-12-05 00:00:00-05:00,229.88,231.59,229.75,229.88,77994500,0.0
2017-12-06 00:00:00-05:00,229.98,230.35,229.46,229.92,75898600,0.0
2017-12-07 00:00:00-05:00,230.65,230.96,229.66,230.65,77218600,0.0
2017-12-08 00:00:00-05:00,231.6,231.92,230.61,231.91,76563900,0.0
2017-12-11 00:00:00-05:00,232.61,232.67,231.88,232.61,83077500,0.0
2017-12-12 00:00:00-05:00,233.39,233.49,232.64,233.02,85195800,0.0
2017-12-13 00:00:00-05:00,233.26,233.7,232.9,232.99,102905400,0.0
2017-12-14 00:00:00-05:00,233.29,233.4,231.99,232.04,100666700,0.0
2017-12-15 00:00:00-05:00,233.04,234.44,232.99,233.97,144610300,0.0
2017-12-18 00:00:00-05:00,235.37,235.81,235.26,235.45,83653600,0.0
2017-12-19 00:00:00-05:00,235.7,235.74,234.48,234.55,82382900,0.0
2017-12-20 00:00:00-05:00,235.52,235.57,234.13,234.43,76751500,0.0
2017-12-21 00:00:00-05:00,235.05,235.62,234.66,234.91,67032300,0.0
2017-12-22 00:00:00-05:00,234.93,234.96,234.31,234.85,78720900,0.0
2017-12-26 00:00:00-05:00,234.44,234.79,234.3,234.57,45244400,0.0
2017-12-27 00:00:00-05:00,234.73,235.04,234.41,234.68,57751000,0.0
2017-12-28 00:00:00-05:00,235.18,235.21,234.8,235.16,45116100,0.0
2017-12-29 00:00:00-05:00,235.74,235.76,234.08,234.28,96007400,0.0
2018-01-02 00:00:00-05:00,235.14,235.99,234.75,235.95,86655700,0.0
2018-01-03 00:00:00-05:00,236.12,237.6,236.12,237.45,90070400,0.0
2018-01-04 00:00:00-05:00,238.09,238.93,237.51,238.45,80636400,0.0
2018-01-05 00:00:00-05:00,239.24,240.16,238.75,240.04,83524000,0.0
2018-01-08 00:00:00-05:00,239.94,240.63,239.65,240.48,57319200,0.0
2018-01-09 00:00:00-05:00,240.9,241.64,240.62,241.02,57254000,0.0
2018-01-10 00:00:00-05:00,240.26,240.91,239.6,240.65,69574300,0.0
2018-01-11 00:00:00-05:00,241.2,242.41,241.04,242.41,62361500,0.0
2018-01-12 00:00:00-05:00,242.67,244.15,242.37,243.99,90816100,0.0
2018-01-16 00:00:00-05:00,245.24,245.89,242.46,243.15,106555100,0.0
2018-01-17 00:00:00-05:00,244.08,245.86,243.15,245.47,113258800,0.0
2018-01-18 00:00:00-05:00,245.36,245.78,244.57,245.06,100728000,0.0
2018-01-19 00:00:00-05:00,245.64,246.17,245.06,246.17,140920100,0.0
2018-01-22 00:00:00-05:00,245.96,248.17,245.91,248.17,91322400,0.0
2018-01-23 00:00:00-05:00,248.22,248.99,247.89,248.7,97084700,0.0
2018-01-24 00:00:00-05:00,249.34,249.94,247.43,248.6,134816100,0.0
2018-01-25 00:00:00-05:00,249.47,249.56,247.92,248.71,84587300,0.0
2018-01-26 00:00:00-05:00,249.54,251.63,249.29,251.59,107743100,0.0
2018-01-29 00:00:00-05:00,251.02,251.46,249.76,249.92,90118300,0.0
2018-01-30 00:00:00-05:00,248.1,249.97,246.88,247.36,131796400,0.0
2018-01-31 00:00:00-05:00,248.21,248.71,246.41,247.48,108364800,0.0
2018-02-01 00:00:00-05:00,246.75,248.5,246.41,247.2,90102500,0.0
2018-02-02 00:00:00-05:00,245.88,246.02,241.78,241.82,173174800,0.0
2018-02-05 00:00:00-05:00,240.06,242.17,231.16,231.71,294681800,0.0
2018-02-06 00:00:00-05:00,228.2,236.77,227.11,236.27,355026800,0.0
2018-02-07 00:00:00-05:00,235.72,239.11,234.91,234.99,167376100,0.0
2018-02-08 00:00:00-05:00,235.29,235.43,226.14,226.17,246449500,0.0
2018-02-09 00:00:00-05:00,228.96,231.42,222.04,229.57,283565300,0.0
2018-02-12 00:00:00-05:00,231.62,234.41,229.71,232.94,143736000,0.0
2018-02-13 00:00:00-05:00,231.74,234.07,231.16,233.52,81223600,0.0
2018-02-14 00:00:00-05:00,232.04,237.03,232.03,236.67,120735700,0.0
2018-02-15 00:00:00-05:00,238.41,239.7,235.95,239.69,111200300,0.0
2018-02-16 00:00:00-05:00,239.07,241.7,239.03,239.76,160420100,0.0
2018-02-20 00:00:00-05:00,238.82,240.26,237.47,238.26,86369700,0.0
2018-02-21 00:00:00-05:00,238.7,241.18,236.98,237.08,98883700,0.0
2018-02-22 00:00:00-05:00,238.0,239.71,236.72,237.39,110511300,0.0
2018-02-23 00:00:00-05:00,238.61,241.17,238.13,241.17,92766400,0.0
2018-02-26 00:00:00-05:00,242.24,244.07,241.65,243.97,86491400,0.0
2018-02-27 00:00:00-05:00,244.15,244.86,240.86,240.92,99099200,0.0
2018-02-28 00:00:00-05:00,242.02,242.47,238.17,238.48,121907800,0.0
2018-03-01 00:00:00-05:00,238.27,239.82,233.52,235.01,176855100,0.0
2018-03-02 00:00:00-05:00,233.35,236.79,232.49,236.23,139083200,0.0
2018-03-05 00:00:00-05:00,235.04,239.57,234.94,238.96,97307400,0.0
2018-03-06 00:00:00-05:00,239.93,240.01,238.07,239.56,79213200,0.0
2018-03-07 00:00:00-05:00,237.4,239.83,237.21,239.47,87063500,0.0
2018-03-08 00:00:00-05:00,240.15,240.76,239.16,240.63,66901200,0.0
2018-03-09 00:00:00-05:00,242.04,244.82,241.72,244.82,113625300,0.0
2018-03-12 00:00:00-04:00,245.11,245.73,244.13,244.51,71924800,0.0
2018-03-13 00:00:00-04:00,245.67,246.17,242.33,242.93,91968900,0.0
2018-03-14 00:00:00-04:00,243.89,244.07,241.13,241.69,105895100,0.0
2018-03-15 00:00:00-04:00,242.2,242.84,240.92,241.42,83433000,0.0
2018-03-16 00:00:00-04:00,241.95,242.73,241.63,241.69,100343700,0.0
2018-03-19 00:00:00-04:00,240.94,241.86,236.77,238.42,109208400,0.0
2018-03-20 00:00:00-04:00,238.81,239.46,238.14,238.82,59757300,0.0
2018-03-21 00:00:00-04:00,238.78,240.87,238.15,238.36,78709600,0.0
2018-03-22 00:00:00-04:00,236.14,236.99,232.13,232.4,148785900,0.0
2018-03-23 00:00:00-04:00,232.84,233.17,227.26,227.45,183534800,0.0
2018-03-26 00:00:00-04:00,231.05,233.96,228.65,233.67,141956100,0.0
2018-03-27 00:00:00-04:00,234.61,235.14,228.15,229.7,129941400,0.0
